Name	Address	Street_1	Street_2	Zip	Lat	Long	Class	State	County	City	Playground	Pools	Tennis	Baseball	Basketball	Playing	Acreage	Dog	Ice	Notes
Pope Park		Pope St	Addy Dr	02743			Urban	MA	Bristol	Acushnet	1			1	1					
Dighton Community Playground	979 Somerset Ave			02715			Urban	MA	Bristol	Dighton	1			1		1				
Lane Field		Main St	Water St	02715			Urban	MA	Bristol	Dighton	1			1						
No. Dighton Playground and Ball Field		Prospect St	School St	02764			Urban	MA	Bristol	Dighton				1	1					
Osprey landing		Boat Ramp Rd	Park Ave	02715			Urban	MA	Bristol	Dighton										
School Lane Playground		School Ln	Palmer St	02715			Urban	MA	Bristol	Dighton	1				1					
Tennis and Basketball courts	1551 Somerset Ave			02715			Urban	MA	Bristol	Dighton			1		1					
Tri- Centennial Park		Water St	Pleasant St	02715			Urban	MA	Bristol	Dighton										
Edwin A Keach Park	49 Chestnut St			02356			Urban	MA	Bristol	Easton	1			1		1				
Tories Place Park					42.064308	-71.101536	Urban	MA	Bristol	Easton	1			1						Coordinates
Unionville Field	184 Washington St			02356			Urban	MA	Bristol	Easton	1		1	1	1					
Anthony Field					41.649	-70.9079	Urban	MA	Bristol	Fairhaven										Coordinates
Cushman Park		Green St	Christian St	02719			Urban	MA	Bristol	Fairhaven	1		1	1	1	1				
Livesey Park		Glenhaven Ave	Parker St	02719			Urban	MA	Bristol	Fairhaven	1		1	1	1	1				
Macomber Pimental Field					41.62085249	-70.86676323	Urban	MA	Bristol	Fairhaven										Coordinates
Pease Park		Middle St	Pease St	02719			Urban	MA	Bristol	Fairhaven										
Willow Park		South St	Chesnut St	02719			Urban	MA	Bristol	Fairhaven	1			1						
ABBOTT COURT PLAYGROUND		Birch St	King St				Urban	MA	Bristol	Fall River	1			1	1	1	4			
AETNA STREET PLAYGROUND					41.68113685	-71.1615064	Urban	MA	Bristol	Fall River					1		1			Coordinates
BANK STREET TOT LOT		Bank St	OGrady St				Urban	MA	Bristol	Fall River	1				1		1			
BICENTENNIAL PARK		Davol St	Bottom President Ave				Urban	MA	Bristol	Fall River			4				5			
BRITLAND PARK		Pleasant St	Fifteenth St				Urban	MA	Bristol	Fall River	1		2		3	1	16			
COLUMBUS PARK		Bedford St	Stinziano St				Urban	MA	Bristol	Fall River	1			1	1		1			
DAVIS PLAYGROUND	703 Meridian St						Urban	MA	Bristol	Fall River				1	1		3			In the rear
DESMARAIS PLAYGROUND		McGowan St	County St				Urban	MA	Bristol	Fall River	1						1			
DUMONT FIELD		County St	Brogan Blvd				Urban	MA	Bristol	Fall River				2			3			
FATHER KELLY PARK		SMain St	Globe St				Urban	MA	Bristol	Fall River				1			5			
FATHER TRAVASSOS PARK		Everett St	Alden St				Urban	MA	Bristol	Fall River					2	1	5			
GRIFFIN PLAYGROUND		Fourth St	Fifth St				Urban	MA	Bristol	Fall River	1				2		1			
JOSE SILVA PARK		Locust St	N Quarry St				Urban	MA	Bristol	Fall River							2			
KENNEDY PARK		SMain St	Middle St				Urban	MA	Bristol	Fall River	1	1	1	1	1	1	54			
LAFAYETTE PARK		Eastern Ave	County St				Urban	MA	Bristol	Fall River	1	1	1	1	1	1	11			
MAPLEWOOD PARK		Stafford Rd	Albert St				Urban	MA	Bristol	Fall River	1		1	1	1		13			
MASSASOIT TOT LOT		Quequechan St	Wamsutta St				Urban	MA	Bristol	Fall River	1				1		1			
NORTH PARK		N Main St	Hood St				Urban	MA	Bristol	Fall River	1			1	1	1	25			
PULASKI PLAYGROUND		Warren St	Jackson St				Urban	MA	Bristol	Fall River	1		1	1			3			
RUGGLES PARK		Pine St	Seabury St				Urban	MA	Bristol	Fall River	1			1	1		9			
SMALL SCHOOL BASEBALL FIELD					41.7019942	-71.13861219	Urban	MA	Bristol	Fall River				1						Coordinates
THOMAS CHEW FIELD		Globe St	Slade St				Urban	MA	Bristol	Fall River				1	1		4			
TURNER PLAYGROUND		Danforth St	Locust St				Urban	MA	Bristol	Fall River					2		2			
Bandstand Park		South Main St	Elm St	02702			Urban	MA	Bristol	Freetown										
Central Park		Memorial Dr	Bullock Rd	02717			Urban	MA	Bristol	Freetown	1			1	1	1				
Hathaway Park					41.793992	-71.072482	Urban	MA	Bristol	Freetown	1			1						Coordinates
Memorial Park		Memorial Dr	Chace Rd	02717			Urban	MA	Bristol	Freetown										
Porter's Shore		Gramp Deane Rd	Jeffrey Ln	02702			Urban	MA	Bristol	Freetown							10			
Rezendes Baseball Complex	13 Narrows Rd			02702			Urban	MA	Bristol	Freetown				1						
Town Beach	99 Long Pond Rd			02717			Urban	MA	Bristol	Freetown				1						
Fultons Pond		West St	Rumford Ave	02048			Urban	MA	Bristol	Mansfield										
Hutchinson Fields		Pratt St	Granada Cir	02048			Urban	MA	Bristol	Mansfield				1		1				
Kingman Pond		Dean St	Spring St	02048			Urban	MA	Bristol	Mansfield										
Memorial Park	111 Hope St			02048			Urban	MA	Bristol	Mansfield	1		1	1	1	1				
Plymouth St Fields	5 Plymouth St			02048			Urban	MA	Bristol	Mansfield	1		1	1	1					
South Common		Union St	West St	02048			Urban	MA	Bristol	Mansfield										
Burchill Fields	38 Plain St			02766			Urban	MA	Bristol	Norton				1						
Everett Leonard Park	6 Parker St			02766			Urban	MA	Bristol	Norton	1	1		1	1	1				
Lyons Field		Dean	Harvey St	02766			Urban	MA	Bristol	Norton				1						
Trecentennial Park and Community Playground	217 West Main St			02766			Urban	MA	Bristol	Norton	1									
Borden Colony Athletic Complex	2215 King Philip St			02767			Urban	MA	Bristol	Raynham	1		1	1	1	1				
Johnson Pond		N Main St	Kenny Rd	02767			Urban	MA	Bristol	Raynham										
L.B. Merrill School	687 Pleasant St			02767			Urban	MA	Bristol	Raynham	1		1	1	1	1				
LaLiberte Elementary School	777 Pleasant St			02767			Urban	MA	Bristol	Raynham	1			1	1	1				
Raynham Middle School	420 Titicut Rd			02767			Urban	MA	Bristol	Raynham			1	1	1	1				
Village Waterfront Park					41.769941	-71.124748	Urban	MA	Bristol	Somerset	1									Coordinates
Swansea Project Playground		Milford Rd	School St	02777			Urban	MA	Bristol	Swansea	1		1	1	1	1				
Amesbury Town Park and Skate Park	140 Friend St			01913			Urban	MA	Essex	Amesbury	1			1	1	1				
Batchelder Park					42.866434	-70.939751	Urban	MA	Essex	Amesbury										Coordinates
Collins St Field		Collins St	Collins Ave	01913			Urban	MA	Essex	Amesbury				1	1					
Deer Island	1 Deer Island st			01913			Urban	MA	Essex	Amesbury										
Lake Gardner Beach					42.86045	-70.937616	Urban	MA	Essex	Amesbury										Coordinates
Woodsom Farm	222 Lions Mouth Rd			01913			Urban	MA	Essex	Amesbury						1				
Pomps Pond					42.636599	-71.149609	Urban	MA	Essex	Andover	1					1				Coordinates
Recreation Park	9 Woburn St			01810			Urban	MA	Essex	Andover	1		1	1						
The Park		Bartlet St	Chestnut St	01810			Urban	MA	Essex	Andover										
Ahearn Park		Fayette St	S Hardy St	01915			Urban	MA	Essex	Beverly	1				1					
Ayers Ryal Side Elementary School	40 Woodland Ave			01915			Urban	MA	Essex	Beverly	1				1	1	9.7			
Balch Park		Cabot St	Balch St	01915			Urban	MA	Essex	Beverly	1			1	1	1				
Bessie Baker Park	373R Cabot St			01915			Urban	MA	Essex	Beverly	1			1	1					
Beverly Common		Essex St	Dane St	01915			Urban	MA	Essex	Beverly										
Beverly Dog Park		LP Henderson Rd	San Fonzo Dr	01915			Dog	MA	Essex	Beverly								1		
Beverly High School	100 Sohier Rd			01915			Urban	MA	Essex	Beverly				1	1	1				
Birch Plains Park		Cabot St	LP Henderson Rd	01915			Urban	MA	Essex	Beverly						1				
Brackenberry Beach					42.550772	-70.851656	Urban	MA	Essex	Beverly										Coordinates
Briscoe Middle School	7 Sohier Rd			01915			Urban	MA	Essex	Beverly					1	1	6.5			
Cahill Park and Centerville Playground	17 Hull St			01915			Urban	MA	Essex	Beverly	1		1	1		1	12.48			
Colgate Park		Colgate Rd	Radcliffe Rd	01915			Urban	MA	Essex	Beverly	1									
Cooney Field	105 Essex St			01915			Urban	MA	Essex	Beverly				1		1				
Cove Elementary School	2 Eisenhower Ave			01915			Urban	MA	Essex	Beverly						1	9.0			
David S. Lynch Memorial Park		Ober St	Oceanside Dr	01915			Urban	MA	Essex	Beverly	1									
Dix Park		Haskell St	Goodwin Rd	01915			Urban	MA	Essex	Beverly	1			1	1					
Femino Park		Lindsey Ave	Stewart Ave	01915			Urban	MA	Essex	Beverly	1			1	1					
Gillis Park	98 Porter St			01915			Urban	MA	Essex	Beverly	1				1					
Hannah Elementary School	41 Brimbal Ave			01915			Urban	MA	Essex	Beverly	1			1	1	1	1			
Harry Ball Field	406 Essex St			01915			Urban	MA	Essex	Beverly				1						
Hellard-Hubis Park		McKay St	Sturtevant St	01915			Urban	MA	Essex	Beverly	1				1					
Herlihy Park	15 Livingstone Ave			01915			Urban	MA	Essex	Beverly	1			1	1					
Holcroft Park		Gage St	Mill St	01915			Urban	MA	Essex	Beverly	1				1					
Independence Park		Lothrop St	Wilson Ave	01915			Urban	MA	Essex	Beverly										
Innocenti Park		McPherson Dr	River St	01915			Urban	MA	Essex	Beverly				1	1					
Kimball-Haskell Park		Cross St	Ray St	01915			Urban	MA	Essex	Beverly	1		1	1	1					
Longfellow Tot Lot	52 Middlebury Ln			01915			Urban	MA	Essex	Beverly			1		1					
Lyons Park	111 Lothrop St			01915			Urban	MA	Essex	Beverly	1									
McArthur Park	34 Simon St			01915			Urban	MA	Essex	Beverly	1									
McKeown Elementary School	70 Balch St			01915			Urban	MA	Essex	Beverly	1			1		1	6.5			
Norman Gilbert Park	Stone St			01915			Urban	MA	Essex	Beverly	1			1	1					
North Beverly Elementary School	48 Putnam St			01915			Urban	MA	Essex	Beverly	1				1	1	5.89			
Oak Heights		Old Town Rd	Deer Haven Rd	01915			Urban	MA	Essex	Beverly	1									
Obear Park	145 Livingstone Ave			01915			Urban	MA	Essex	Beverly	1		1	1	1					
Odell Park	158 Rantoul St			01915			Urban	MA	Essex	Beverly										
Rice's Beach					42.54702	-70.858088	Urban	MA	Essex	Beverly										Coordinates
Sally Milligan Park	86 Cross Ln			01915			Urban	MA	Essex	Beverly										
Sam Carratu Park	154 Park St			01915			Urban	MA	Essex	Beverly	1			1	1					
Sandy Point					42.54042	-70.877995	Urban	MA	Essex	Beverly										Coordinates
Vittori Park		Cabot St	Conant St	01915			Urban	MA	Essex	Beverly	1			1	1					
Wardell Square		Brimbal Ave	Colon St	01915			Urban	MA	Essex	Beverly										
Wentworth Tot Lot	10 Wentworth Dr			01915			Urban	MA	Essex	Beverly	1									
Woodbury Beach					42.546961	-70.862795	Urban	MA	Essex	Beverly										Coordinates
Christopher Cargill Fields	26 Middleton Rd			01921			Urban	MA	Essex	Boxford	1			1						
Eric Luther Boy Scout Park and Robert M Ackerman Playground		Dana Rd	Cahoon Rd	01921			Urban	MA	Essex	Boxford	1			1		1				
Johnson and Chadwick Fields	19 Spofford Rd			01921			Urban	MA	Essex	Boxford				1		1				
Keith R. Koster Park	15 Stiles Pond Rd 			01921			Urban	MA	Essex	Boxford				1						
Morse Field	188 Washington St			01921			Urban	MA	Essex	Boxford				1	1					
Spofford Pond School	31 Spofford Rd			01921			Urban	MA	Essex	Boxford	1			1						
Bradstreet Park	21 Bradstreet Ave			01923			Urban	MA	Essex	Danvers	1									
Choate Farm	401 Locust St			01923			Urban	MA	Essex	Danvers										
Danvers High School	60 Cabot Rd			01923			Urban	MA	Essex	Danvers	1			1		1				
Endicott Park	57 Forest St			01923			Urban	MA	Essex	Danvers	1									
Folly Hill Park	12 Upland Rd			01923			Urban	MA	Essex	Danvers	1				1					
Gates Field	15 Stone St			01923			Urban	MA	Essex	Danvers						1				
Great Oak School	76 Pickering St			01923			Urban	MA	Essex	Danvers	1			1	1					
Highlands School	190 Hobart St			01923			Urban	MA	Essex	Danvers	1			1	1	1				
John George Park	35 River St			01923			Urban	MA	Essex	Danvers	1			1		1				
Lawrence Street Park	46 Lawrence St			01923			Urban	MA	Essex	Danvers	1									
Plains Park	55 Conant St			01923			Urban	MA	Essex	Danvers	1			1	1	1				
Preston Street Park	31 Preston St			01923			Urban	MA	Essex	Danvers	1									
Putnamville Park	11 Wenham Rd			01923			Urban	MA	Essex	Danvers	1									
Rand Circle Park	12 Rand Cir			01923			Urban	MA	Essex	Danvers	1									
Riverside School	95 Liberty St			01923			Urban	MA	Essex	Danvers	1			1	1	1				
Sandy Beach	44 River St			01923			Urban	MA	Essex	Danvers	1									
Smith School	2 Orrantia Cir			01923			Urban	MA	Essex	Danvers	1			1	1	1				
Southwick Park	15 Tipert St			01923			Urban	MA	Essex	Danvers	1									
Tapley Park	139 Pine St			01923			Urban	MA	Essex	Danvers	1				1					
Thorpe School	30 Avon Rd			01923			Urban	MA	Essex	Danvers	1			1		1				
Williams School/Art Association	105 Elliot St			01923			Urban	MA	Essex	Danvers	1			1						
Centennial Grove/Field of Dreams	46 Centennial Grove Rd			01929			Urban	MA	Essex	Essex				1		1				
Essex Elementary School	12 Story St			01932			Urban	MA	Essex	Essex	1				1		10			
Memorial Park	24 Martin St			01933			Urban	MA	Essex	Essex	1		1	1	1		16			
American Legion Park		Milton Way	Pentucket Ave	01833			Urban	MA	Essex	Georgetown	1		1	1	1	1	9			
Harry Murch Park		Library St	E Main St	01835			Urban	MA	Essex	Georgetown							0.5			
Joseph Soucy Memorial Playground / Penn Brook School	68 Elm St			01833			Urban	MA	Essex	Georgetown	1			1	1	1	48			
Wellfields					42.721385	-71.020582	Urban	MA	Essex	Georgetown						1	100.8			Coordinates
Apple Street Playground	1 Apple St			01930			Urban	MA	Essex	Gloucester	1					1	2.9			
Babson Playground		Poplar St	Russell Ave	01930			Urban	MA	Essex	Gloucester	1						0.2			
Bayview Playground	891 Washington St			01930			Urban	MA	Essex	Gloucester	1						0.8			
Beeman School Playground	138 Cherry St			01930			Urban	MA	Essex	Gloucester	1			1	1		2.2			
Ben Smith Playground	East Main St			01930			Urban	MA	Essex	Gloucester	1						0.4			
Burke Playground	620 Western Ave			01930			Urban	MA	Essex	Gloucester	1			1		1	6.6			
Burnham's Field	75 Pleasant St			01930			Urban	MA	Essex	Gloucester	1			1	1		6.7			
Ciaramitaro/Gemellaro Playground	25 Fort Square			01930			Urban	MA	Essex	Gloucester	1				1		1			
East Gloucester Elementary School Field and Parsons Playground	9 Davis St			01930			Urban	MA	Essex	Gloucester	1					1	2.66			
Elizabeth Road Playground and Para Research Field	11 Abbott Rd			01930			Urban	MA	Essex	Gloucester	1					1	2.21			
Ellery House Field	247 Washington St			01930			Urban	MA	Essex	Gloucester						1	2.9			
Fuller School Fields	4 School House Rd			01930			Urban	MA	Essex	Gloucester				1		1	13.4			
Ganine H. Doucette Playground / Green St Park	6 Green St			01930			Urban	MA	Essex	Gloucester	1			1	1		5.8			
Gloucester High School Fields and Courts	32 Leslie O Johnson Rd			01930			Urban	MA	Essex	Gloucester			1			1	21.2			
Gordon Thomas Park	5 EAST MAIN ST			01930			Urban	MA	Essex	Gloucester										
Governors Hill Park / Lookout Park	20 Commonwealth Ave			01930			Urban	MA	Essex	Gloucester							1.13			
Keith Trefry Park / Rocky Neck Park	Rocky Neck Ave			01930			Urban	MA	Essex	Gloucester							2.1			
Kettle Cove Field	644 Western Ave			01930			Urban	MA	Essex	Gloucester						1	5.2			
Knowlton Park / Viera Park	32 Fuller St			01930			Urban	MA	Essex	Gloucester							0.3			
Magnolia Park		Magnolia Ave	Raymond St	01930			Urban	MA	Essex	Gloucester										
Magnolia Woods Recreational Area	472 Western Ave			01930			Urban	MA	Essex	Gloucester						1	259.5			
Middleton Playground		Friend St	Friend Ct	01930			Urban	MA	Essex	Gloucester	1				1		0.6			
Newell Stadium	26 Centennial Ave			01930			Urban	MA	Essex	Gloucester						1	8.2			
O'Maley School Fields and Skatepark	32 Cherry St			01930			Urban	MA	Essex	Gloucester				1	1	1	30.1			
Plum Cove Recreation Area and Sepalla Field	1007 Washington St			01930			Urban	MA	Essex	Gloucester				1			55.85			
Plum Cove School	15 Hickory St			01930			Urban	MA	Essex	Gloucester	1						16.3			
Ravenswood	481 Western Ave			01930			Urban	MA	Essex	Gloucester							598.7			
Rebecca's Playground		Washington St	Morgan Ave	01930			Urban	MA	Essex	Gloucester	1									
St. Peters Park / Gilbert's Landing	2 Commercial St			01930			Urban	MA	Essex	Gloucester							1			
Stacy Boulevard		Western Ave	 Middle St	01930			Urban	MA	Essex	Gloucester							1			
Stage Fort Park	24 Hough Ave			01930			Urban	MA	Essex	Gloucester	1		1	1		1	61			
Surf Park	6 Magnolia Ave			01930			Urban	MA	Essex	Gloucester							0.64			
Swinsons Field/Farm					42.605002	-70.648769	Urban	MA	Essex	Gloucester						1				Coordinates
The Oval Playground / Palazola Playground	92 CENTENNIAL Ave			01930			Urban	MA	Essex	Gloucester	1			1			2.71			
Veterans Memorial School and Mattos Field	11 Webster St			01930			Urban	MA	Essex	Gloucester	1					1	6.3			
West Parish School and Science Park	10 Concord St			01930			Urban	MA	Essex	Gloucester	1			1	1		20.1			
Wilson's Field	353 Washington St			01930			Urban	MA	Essex	Gloucester				1			16.8			
Elm Park		Elm Park	Gardner St	01834			Urban	MA	Essex	Groveland							1.2			
Perry Park		Main St	King St	01834			Urban	MA	Essex	Groveland							2.4			
Pines Recreation Area	222 Main St			01834			Urban	MA	Essex	Groveland	1			1	1	1	21			
Shanahan Field	423 Main St			01834			Urban	MA	Essex	Groveland						1	9.3			
South Groveland Fire Station	181 Main St			01834			Urban	MA	Essex	Groveland					1					
Veasey Memorial Park	201 Washington St			01834			Urban	MA	Essex	Groveland							47.5			
Washington Park	89 Center St			01834			Urban	MA	Essex	Groveland	1			1	1		11.3			
Cutler School	237 Asbury St			01982			Urban	MA	Essex	Hamilton				1						
Donovan Field					42.63013	-70.823557	Urban	MA	Essex	Hamilton				1		1				Coordinates
Fairhaven Field		Linden St	Marjorie St	01982			Urban	MA	Essex	Hamilton	1					1				
Hailton-Wenham Regional High School	775 Bay Rd			01982			Urban	MA	Essex	Hamilton				1		1				
Middle School	787 Bay Rd			01982			Urban	MA	Essex	Hamilton				1						
Patton Park	340 Bay Rd			01982			Urban	MA	Essex	Hamilton	1	1	1	1	1	1				
Pingree School	537 Highland St			01982			Urban	MA	Essex	Hamilton	1		1	1		1				
Winthrop School	325 Bay Rd			01982			Urban	MA	Essex	Hamilton				1						
Riverside Park		Lincoln Ave	Nettleton Ave	01830			Urban	MA	Essex	Heverhill	1		1	1	1	1				
Wainnekini Park		Kenoza Ave	Shore Dr	01830			Urban	MA	Essex	Heverhill	1		1							
Bialek Park		Linebrook Rd	Maple Ave	01938			Urban	MA	Essex	Ipswich	1		1	1	1	1				
Doyon School	216 Linebrook Rd			01938			Urban	MA	Essex	Ipswich	1			1	1	1				
Father Rye Playground	29 Kimball St			01938			Urban	MA	Essex	Ipswich	1									
Giles Firman Playground					42.673047	-70.836075	Urban	MA	Essex	Ipswich	1									Coordinates
Great Neck Park / Pavillion Beach	128 Little Neck Rd			01938			Urban	MA	Essex	Ipswich	1				1	1				
Green Street Town Hall	25 Green St			01938			Urban	MA	Essex	Ipswich				1	1	1				
Howe St Playground	11 Howe St			01938			Urban	MA	Essex	Ipswich	1									
Middle School and High School Fields	130 High St			01938			Urban	MA	Essex	Ipswich			1	1		1				
Miles Lane Ball Fields	65 Mile Ln			01938			Urban	MA	Essex	Ipswich				1		1				
Nichols Field	60 Labor in Vain Rd			01938			Urban	MA	Essex	Ipswich							15			
Pocket Park	County St			01938			Urban	MA	Essex	Ipswich										Couldn’t Find
Saw Mill Point Pocket Park	County St			01938			Urban	MA	Essex	Ipswich										Couldn’t Find
Strawberry Hill	56 Jeffreys Neck Rd			01938			Urban	MA	Essex	Ipswich							91			
Bourgoin Square Park		West St	Wendell St				Urban	MA	Essex	Lawrence	1			1		1				
Campagnone Common		Common St	Lawrence St				Urban	MA	Essex	Lawrence	1			1						
Costello Park		Crawford St	Abbott St				Urban	MA	Essex	Lawrence	1		1		1					
Den Rock Park					42.68074775	-71.13997697	Urban	MA	Essex	Lawrence										Coordinates
Donovan Park		Andover St	Beacon St				Urban	MA	Essex	Lawrence	1									
